instancia,metodo,tiempo,tamaño,costo,iteraciones,T
gr17,BL-Tabu,11.3111,17,2085,100,100
gr21,BL-Tabu,13.1365,21,3256,100,100
gr24,BL-Tabu,17.185,24,1442,100,100
gr48,BL-Tabu,71.714,48,5827,100,100
gr96,BL-Tabu,463.95,96,63008,100,100
hk48,BL-Tabu,72.083,48,12683,100,100
kroA100,BL-Tabu,525.522,100,24147,100,100
kroB100,BL-Tabu,530.539,100,27869,100,100
kroC100,BL-Tabu,521.808,100,25659,100,100
kroD100,BL-Tabu,520.314,100,26579,100,100
kroE100,BL-Tabu,548.18,100,26170,100,100
pr76,BL-Tabu,247.731,76,119784,100,100
rat99,BL-Tabu,508.186,99,1494,100,100
rd100,BL-Tabu,522.779,100,9621,100,100
st70,BL-Tabu,193.402,70,763,100,100
swiss42,BL-Tabu,54.3702,42,1478,100,100
ulysses16,BL-Tabu,11.7047,16,6909,100,100
ulysses22,BL-Tabu,16.2724,22,7446,100,100
gr17,BL-Tabu,65.9769,17,2085,500,100
att48,BL-Tabu,368.537,48,12158,500,100
bayg29,BL-Tabu,126.933,29,1781,500,100
bays29,BL-Tabu,129.257,29,2096,500,100
berlin52,BL-Tabu,451.382,52,8667,500,100
brazil58,BL-Tabu,608.457,58,29406,500,100
burma14,BL-Tabu,66.0957,14,3371,500,100
dantzig42,BL-Tabu,271.581,42,856,500,100
eil51,BL-Tabu,429.067,51,477,500,100
eil76,BL-Tabu,1227.1,76,612,500,100
fri26,BL-Tabu,106.519,26,1034,500,100
gr17,BL-Tabu,68.7969,17,2085,500,100
gr21,BL-Tabu,76.1257,21,3256,500,100
gr24,BL-Tabu,89.0829,24,1442,500,100
gr48,BL-Tabu,363.221,48,5827,500,100
gr96,BL-Tabu,2373.54,96,63008,500,100
hk48,BL-Tabu,367.487,48,12369,500,100
kroA100,BL-Tabu,2683.42,100,24147,500,100
kroB100,BL-Tabu,2605.16,100,27869,500,100
kroC100,BL-Tabu,2608.28,100,25659,500,100
kroD100,BL-Tabu,2616.28,100,26579,500,100
kroE100,BL-Tabu,2610.24,100,26170,500,100
pr76,BL-Tabu,1227.15,76,119784,500,100
rat99,BL-Tabu,2543.74,99,1494,500,100
rd100,BL-Tabu,2641.16,100,9621,500,100
st70,BL-Tabu,989.044,70,763,500,100
swiss42,BL-Tabu,265.677,42,1478,500,100
ulysses16,BL-Tabu,61.4078,16,6909,500,100
ulysses22,BL-Tabu,83.1643,22,7446,500,100
gr17,BL-Tabu,134.172,17,2085,1000,100
att48,BL-Tabu,742.951,48,12158,1000,100
bayg29,BL-Tabu,259.558,29,1781,1000,100
bays29,BL-Tabu,262.02,29,2096,1000,100
berlin52,BL-Tabu,905.275,52,8667,1000,100
brazil58,BL-Tabu,1195.09,58,29406,1000,100
burma14,BL-Tabu,127.503,14,3371,1000,100
dantzig42,BL-Tabu,539.446,42,856,1000,100
eil51,BL-Tabu,846.742,51,477,1000,100
eil76,BL-Tabu,2513.01,76,612,1000,100
fri26,BL-Tabu,205.773,26,1034,1000,100
gr17,BL-Tabu,134.854,17,2085,1000,100
gr21,BL-Tabu,150.931,21,3256,1000,100
gr24,BL-Tabu,179.276,24,1442,1000,100
gr48,BL-Tabu,759.766,48,5827,1000,100
gr96,BL-Tabu,4760.39,96,63008,1000,100
hk48,BL-Tabu,733.168,48,12369,1000,100
kroA100,BL-Tabu,5248.08,100,24147,1000,100
kroB100,BL-Tabu,5295.08,100,27869,1000,100
kroC100,BL-Tabu,5227.98,100,25659,1000,100
kroD100,BL-Tabu,5256.75,100,26579,1000,100
kroE100,BL-Tabu,5313.59,100,26170,1000,100
pr76,BL-Tabu,2559.15,76,119784,1000,100
rat99,BL-Tabu,5361.41,99,1494,1000,100
rd100,BL-Tabu,5392.54,100,9621,1000,100
st70,BL-Tabu,1974.16,70,763,1000,100
swiss42,BL-Tabu,547.486,42,1478,1000,100
ulysses16,BL-Tabu,124.11,16,6909,1000,100
ulysses22,BL-Tabu,168.065,22,7446,1000,100
gr17,BL-Tabu,12.4257,17,2085,100,1000
att48,BL-Tabu,72.4423,48,12158,100,1000
bayg29,BL-Tabu,24.5692,29,1781,100,1000
bays29,BL-Tabu,26.7142,29,2096,100,1000
berlin52,BL-Tabu,87.8341,52,8667,100,1000
brazil58,BL-Tabu,119.514,58,29406,100,1000
burma14,BL-Tabu,11.3488,14,3416,100,1000
dantzig42,BL-Tabu,55.1636,42,856,100,1000
eil51,BL-Tabu,83.0162,51,477,100,1000
eil76,BL-Tabu,246.09,76,612,100,1000
fri26,BL-Tabu,18.9262,26,1034,100,1000
gr17,BL-Tabu,13.47,17,2085,100,1000
gr21,BL-Tabu,13.2853,21,3256,100,1000
gr24,BL-Tabu,19.0069,24,1442,100,1000
gr48,BL-Tabu,71.2684,48,5827,100,1000
gr96,BL-Tabu,467.988,96,63008,100,1000
hk48,BL-Tabu,75.1116,48,12683,100,1000
kroA100,BL-Tabu,526.692,100,24147,100,1000
kroB100,BL-Tabu,525.665,100,27869,100,1000
kroC100,BL-Tabu,525.005,100,25659,100,1000
kroD100,BL-Tabu,524.811,100,26579,100,1000
kroE100,BL-Tabu,524.692,100,26170,100,1000
pr76,BL-Tabu,248.785,76,119784,100,1000
rat99,BL-Tabu,525.865,99,1494,100,1000
rd100,BL-Tabu,544.304,100,9621,100,1000
st70,BL-Tabu,195.192,70,763,100,1000
swiss42,BL-Tabu,52.398,42,1478,100,1000
ulysses16,BL-Tabu,11.8979,16,6909,100,1000
ulysses22,BL-Tabu,16.5225,22,7446,100,1000
gr17,BL-Tabu,193.425,17,2085,500,1000
att48,BL-Tabu,463.976,48,12158,500,1000
bayg29,BL-Tabu,232.279,29,1781,500,1000
bays29,BL-Tabu,243.561,29,2096,500,1000
berlin52,BL-Tabu,559.284,52,8667,500,1000
brazil58,BL-Tabu,734.889,58,29406,500,1000
burma14,BL-Tabu,168.319,14,3371,500,1000
dantzig42,BL-Tabu,370.785,42,856,500,1000
eil51,BL-Tabu,525.341,51,477,500,1000
eil76,BL-Tabu,1319.34,76,610,500,1000
fri26,BL-Tabu,202.027,26,1034,500,1000
gr17,BL-Tabu,194.464,17,2085,500,1000
gr21,BL-Tabu,151.369,21,3256,500,1000
gr24,BL-Tabu,166.411,24,1442,500,1000
gr48,BL-Tabu,452.779,48,5827,500,1000
gr96,BL-Tabu,2469.65,96,63008,500,1000
hk48,BL-Tabu,483.82,48,12472,500,1000
kroA100,BL-Tabu,2740.29,100,24147,500,1000
kroB100,BL-Tabu,2736.52,100,27869,500,1000
kroC100,BL-Tabu,2769.43,100,25659,500,1000
kroD100,BL-Tabu,2773.21,100,26579,500,1000
kroE100,BL-Tabu,2687.87,100,26170,500,1000
pr76,BL-Tabu,1361.35,76,119784,500,1000
rat99,BL-Tabu,2702.12,99,1494,500,1000
rd100,BL-Tabu,2708.33,100,9621,500,1000
st70,BL-Tabu,1090.0,70,763,500,1000
swiss42,BL-Tabu,378.39,42,1478,500,1000
ulysses16,BL-Tabu,154.403,16,6909,500,1000
ulysses22,BL-Tabu,182.915,22,7446,500,1000
gr17,BL-Tabu,768.307,17,2085,1000,1000
