instancia,metodo,tiempo,tamaño,costo,iteraciones,T
50,BL-Tabu,1094.94,50,379,1000,1000
50,BL-Tabu,1109.97,50,275,1000,1000
50,BL-Tabu,1119.59,50,412,1000,1000
50,BL-Tabu,1094.02,50,333,1000,1000
50,BL-Tabu,1091.81,50,340,1000,1000
50,BL-Tabu,1092.92,50,394,1000,1000
50,BL-Tabu,1099.21,50,362,1000,1000
50,BL-Tabu,1093.7,50,326,1000,1000
50,BL-Tabu,1107.5,50,388,1000,1000
50,BL-Tabu,1094.19,50,363,1000,1000
50,BL-Tabu,1109.07,50,319,1000,1000
50,BL-Tabu,1114.97,50,379,1000,1000
50,BL-Tabu,1101.26,50,407,1000,1000
50,BL-Tabu,1089.56,50,375,1000,1000
50,BL-Tabu,1092.28,50,347,1000,1000
50,BL-Tabu,1102.38,50,339,1000,1000
50,BL-Tabu,1094.65,50,373,1000,1000
50,BL-Tabu,1090.28,50,343,1000,1000
50,BL-Tabu,1108.58,50,347,1000,1000
50,BL-Tabu,1093.94,50,303,1000,1000
50,BL-Tabu,1079.65,50,360,1000,1000
50,BL-Tabu,1089.68,50,317,1000,1000
50,BL-Tabu,1104.67,50,403,1000,1000
50,BL-Tabu,1099.39,50,352,1000,1000
50,BL-Tabu,1095.42,50,404,1000,1000
50,BL-Tabu,1088.43,50,371,1000,1000
50,BL-Tabu,1081.25,50,356,1000,1000
50,BL-Tabu,1107.82,50,296,1000,1000
50,BL-Tabu,1091.83,50,323,1000,1000
50,BL-Tabu,1088.17,50,286,1000,1000
50,BL-Tabu,1110.75,50,373,1000,1000
50,BL-Tabu,1113.08,50,384,1000,1000
50,BL-Tabu,1075.73,50,401,1000,1000
50,BL-Tabu,1091.55,50,374,1000,1000
50,BL-Tabu,1067.21,50,320,1000,1000
50,BL-Tabu,1141.1,50,362,1000,1000
50,BL-Tabu,1099.72,50,278,1000,1000
50,BL-Tabu,1076.16,50,294,1000,1000
50,BL-Tabu,1087.71,50,480,1000,1000
50,BL-Tabu,1089.95,50,328,1000,1000
50,BL-Tabu,1090.83,50,318,1000,1000
50,BL-Tabu,1105.71,50,330,1000,1000
50,BL-Tabu,1103.9,50,331,1000,1000
50,BL-Tabu,1101.54,50,392,1000,1000
