instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
gr137,BL-Tabu,24.5981,137,94475,aristas,40000,3
gr17,BL-Tabu,0.513239,17,2370,aristas,40000,3
gr202,BL-Tabu,52.69,202,52616,aristas,40000,3
gr21,BL-Tabu,0.693186,21,3747,aristas,40000,3
gr229,BL-Tabu,70.6157,229,179347,aristas,40000,3
gr24,BL-Tabu,1.20234,24,1643,aristas,40000,3
gr431,BL-Tabu,253.766,431,228527,aristas,40000,3
gr48,BL-Tabu,3.77402,48,7188,aristas,40000,3
gr96,BL-Tabu,11.6531,96,75251,aristas,40000,3
hk48,BL-Tabu,3.39426,48,14964,aristas,40000,3
kroA100,BL-Tabu,13.577,100,30517,aristas,40000,3
kroA150,BL-Tabu,29.2592,150,38780,aristas,40000,3
kroA200,BL-Tabu,51.2389,200,40235,aristas,40000,3
kroB100,BL-Tabu,14.3961,100,28808,aristas,40000,3
kroB150,BL-Tabu,30.1062,150,35291,aristas,40000,3
kroB200,BL-Tabu,63.1997,200,40616,aristas,40000,3
kroC100,BL-Tabu,15.3085,100,27637,aristas,40000,3
kroD100,BL-Tabu,16.0468,100,28600,aristas,40000,3
kroE100,BL-Tabu,17.4196,100,30967,aristas,40000,3
lin105,BL-Tabu,13.317,105,21177,aristas,40000,3
lin318,BL-Tabu,138.316,318,60985,aristas,40000,3
linhp318,BL-Tabu,134.489,318,60985,aristas,40000,3
pcb442,BL-Tabu,299.502,442,71278,aristas,40000,3
pr107,BL-Tabu,13.6359,107,55997,aristas,40000,3
pr124,BL-Tabu,23.1526,124,82762,aristas,40000,3
pr136,BL-Tabu,27.9307,136,146990,aristas,40000,3
pr144,BL-Tabu,31.3423,144,77735,aristas,40000,3
pr152,BL-Tabu,34.5986,152,90293,aristas,40000,3
pr226,BL-Tabu,96.0444,226,114826,aristas,40000,3
pr264,BL-Tabu,121.51,264,66415,aristas,40000,3
pr299,BL-Tabu,142.802,299,66919,aristas,40000,3
pr439,BL-Tabu,259.367,439,144158,aristas,40000,3
pr76,BL-Tabu,7.33634,76,147714,aristas,40000,3
rat195,BL-Tabu,65.4249,195,3279,aristas,40000,3
rat99,BL-Tabu,16.2606,99,1636,aristas,40000,3
rd100,BL-Tabu,15.5085,100,10469,aristas,40000,3
rd400,BL-Tabu,254.233,400,21106,aristas,40000,3
si175,BL-Tabu,40.435,175,22993,aristas,40000,3
st70,BL-Tabu,6.28662,70,875,aristas,40000,3
swiss42,BL-Tabu,4.06362,42,1700,aristas,40000,3
ts225,BL-Tabu,87.0754,225,188044,aristas,40000,3
tsp225,BL-Tabu,78.1744,225,5325,aristas,40000,3
u159,BL-Tabu,37.3728,159,54097,aristas,40000,3
ulysses16,BL-Tabu,0.392743,16,8140,aristas,40000,3
ulysses22,BL-Tabu,0.798345,22,8312,aristas,40000,3
gr17,BL-Tabu,0.502154,17,2370,aristas,50000,3
a280,BL-Tabu,121.995,280,3493,aristas,50000,3
att48,BL-Tabu,3.35015,48,13929,aristas,50000,3
bayg29,BL-Tabu,1.49062,29,2203,aristas,50000,3
bays29,BL-Tabu,1.8607,29,2690,aristas,50000,3
berlin52,BL-Tabu,4.89863,52,10414,aristas,50000,3
bier127,BL-Tabu,20.9263,127,155477,aristas,50000,3
brazil58,BL-Tabu,7.43477,58,30367,aristas,50000,3
brg180,BL-Tabu,80.3491,180,120770,aristas,50000,3
burma14,BL-Tabu,0.442937,14,4091,aristas,50000,3
ch130,BL-Tabu,25.5163,130,8280,aristas,50000,3
ch150,BL-Tabu,33.8472,150,9320,aristas,50000,3
d198,BL-Tabu,56.7287,198,19348,aristas,50000,3
d493,BL-Tabu,414.067,493,45335,aristas,50000,3
dantzig42,BL-Tabu,3.73827,42,920,aristas,50000,3
eil51,BL-Tabu,4.66464,51,606,aristas,50000,3
eil76,BL-Tabu,8.55687,76,732,aristas,50000,3
fl417,BL-Tabu,283.134,417,16017,aristas,50000,3
fri26,BL-Tabu,1.35217,26,1137,aristas,50000,3
gil262,BL-Tabu,109.819,262,3266,aristas,50000,3
gr120,BL-Tabu,17.9891,120,9920,aristas,50000,3
gr137,BL-Tabu,24.551,137,94475,aristas,50000,3
gr17,BL-Tabu,0.667093,17,2370,aristas,50000,3
gr202,BL-Tabu,51.2319,202,52616,aristas,50000,3
gr21,BL-Tabu,0.687924,21,3747,aristas,50000,3
gr229,BL-Tabu,77.2017,229,179347,aristas,50000,3
gr24,BL-Tabu,0.780924,24,1643,aristas,50000,3
gr431,BL-Tabu,319.816,431,228527,aristas,50000,3
gr48,BL-Tabu,3.69369,48,7188,aristas,50000,3
gr96,BL-Tabu,11.1182,96,75251,aristas,50000,3
hk48,BL-Tabu,4.11289,48,14964,aristas,50000,3
kroA100,BL-Tabu,14.3644,100,30517,aristas,50000,3
kroA150,BL-Tabu,27.7724,150,38780,aristas,50000,3
kroA200,BL-Tabu,65.128,200,40235,aristas,50000,3
kroB100,BL-Tabu,15.6684,100,28808,aristas,50000,3
kroB150,BL-Tabu,29.0179,150,35291,aristas,50000,3
kroB200,BL-Tabu,57.6057,200,40616,aristas,50000,3
kroC100,BL-Tabu,13.972,100,27637,aristas,50000,3
kroD100,BL-Tabu,15.0392,100,28600,aristas,50000,3
kroE100,BL-Tabu,16.7478,100,30967,aristas,50000,3
lin105,BL-Tabu,15.2447,105,21177,aristas,50000,3
lin318,BL-Tabu,155.562,318,60985,aristas,50000,3
linhp318,BL-Tabu,184.827,318,60985,aristas,50000,3
pcb442,BL-Tabu,298.444,442,71278,aristas,50000,3
